id,timestamp,bpm,systolic,diastolic,stress_level,patient_id,session_id,notes
30,2026-01-09T20:21:20.079480+00:00,79,,,0.087,,,"Auto-collected, Var: 0.473"
31,2026-01-09T20:21:22.076338+00:00,76,,,0.062,,,"Auto-collected, Var: 0.459"
32,2026-01-09T20:21:24.076347+00:00,88,,,0.809,,,"Auto-collected, Var: 0.118"
33,2026-01-09T20:21:26.089437+00:00,113,,,0.905,,,"Auto-collected, Var: 0.575"
34,2026-01-09T20:21:28.079639+00:00,113,,,0.816,,,"Auto-collected, Var: 1.280"
35,2026-01-09T20:21:30.081658+00:00,115,,,0.64,,,"Auto-collected, Var: 1.488"
36,2026-01-09T20:21:32.079539+00:00,105,,,0.459,,,"Auto-collected, Var: 1.453"
37,2026-01-09T20:21:34.079438+00:00,98,,,0.329,,,"Auto-collected, Var: 0.541"
38,2026-01-09T20:21:36.081514+00:00,92,,,0.235,,,"Auto-collected, Var: 0.366"
39,2026-01-09T20:21:38.071482+00:00,88,,,0.169,,,"Auto-collected, Var: 1.919"
40,2026-01-09T20:21:40.084570+00:00,82,,,0.121,,,"Auto-collected, Var: 0.546"
41,2026-01-09T20:21:42.066627+00:00,78,,,0.094,,,"Auto-collected, Var: 1.796"
42,2026-01-09T20:21:44.076721+00:00,78,,,0.067,,,"Auto-collected, Var: 0.710"
43,2026-01-09T20:21:46.074394+00:00,75,,,0.048,,,"Auto-collected, Var: 0.780"
44,2026-01-09T20:21:48.074525+00:00,75,,,0.035,,,"Auto-collected, Var: 0.028"
45,2026-01-09T20:21:50.071488+00:00,108,,,0.79,,,"Auto-collected, Var: 0.670"
46,2026-01-09T20:21:52.074409+00:00,119,,,0.789,,,"Auto-collected, Var: 0.312"
47,2026-01-09T20:21:54.074565+00:00,121,,,0.797,,,"Auto-collected, Var: 0.653"
48,2026-01-09T20:21:56.066647+00:00,115,,,0.571,,,"Auto-collected, Var: 0.339"
49,2026-01-09T20:21:58.071632+00:00,116,,,0.844,,,"Auto-collected, Var: 0.328"
50,2026-01-09T20:22:00.085037+00:00,120,,,0.877,,,"Auto-collected, Var: 1.238"
51,2026-01-09T20:22:02.076664+00:00,119,,,0.862,,,"Auto-collected, Var: 1.421"
52,2026-01-09T20:22:04.071446+00:00,116,,,0.618,,,"Auto-collected, Var: 0.736"
53,2026-01-09T20:22:06.104613+00:00,110,,,0.443,,,"Auto-collected, Var: 1.022"
54,2026-01-09T20:22:19.579415+00:00,78,,,0.051,,,"Auto-collected, Var: 1.681"
55,2026-01-09T20:22:21.586404+00:00,74,,,0.036,,,"Auto-collected, Var: 0.704"
56,2026-01-09T20:22:23.566644+00:00,75,,,0.026,,,"Auto-collected, Var: 0.772"
57,2026-01-09T20:22:25.574384+00:00,74,,,0.019,,,"Auto-collected, Var: 0.830"
58,2026-01-09T20:22:27.569489+00:00,74,,,0.013,,,"Auto-collected, Var: 0.758"
59,2026-01-09T20:22:29.566414+00:00,109,,,0.85,,,"Auto-collected, Var: 0.491"
60,2026-01-09T20:22:31.569338+00:00,120,,,0.828,,,"Auto-collected, Var: 1.131"
61,2026-01-09T20:22:33.574563+00:00,122,,,0.77,,,"Auto-collected, Var: 0.888"
62,2026-01-09T20:22:35.571478+00:00,115,,,0.551,,,"Auto-collected, Var: 0.428"
63,2026-01-09T20:22:37.634630+00:00,107,,,0.429,,,"Auto-collected, Var: 0.695"
64,2026-01-09T20:22:39.890073+00:00,109,,,0.86,,,"Auto-collected, Var: 1.345"
65,2026-01-09T20:22:41.576750+00:00,120,,,0.819,,,"Auto-collected, Var: 0.599"
66,2026-01-09T20:22:43.561526+00:00,121,,,0.897,,,"Auto-collected, Var: 0.805"
67,2026-01-09T20:22:45.574449+00:00,116,,,0.586,,,"Auto-collected, Var: 1.217"
68,2026-01-09T20:22:47.569485+00:00,106,,,0.42,,,"Auto-collected, Var: 0.440"
69,2026-01-09T20:22:58.536756+00:00,75,,,0.067,,,"Auto-collected, Var: 2.411"
70,2026-01-09T20:23:00.534934+00:00,74,,,0.048,,,"Auto-collected, Var: 1.852"
71,2026-01-09T20:23:02.529728+00:00,74,,,0.037,,,"Auto-collected, Var: 1.145"
72,2026-01-09T20:23:04.531528+00:00,75,,,0.027,,,"Auto-collected, Var: 0.374"
73,2026-01-09T20:23:06.534481+00:00,71,,,0.019,,,"Auto-collected, Var: 2.365"
74,2026-01-09T20:23:08.534639+00:00,74,,,0.014,,,"Auto-collected, Var: 1.181"
75,2026-01-09T20:23:10.521596+00:00,104,,,0.926,,,"Auto-collected, Var: 0.890"
76,2026-01-09T20:23:12.521547+00:00,114,,,0.898,,,"Auto-collected, Var: 0.443"
77,2026-01-09T20:23:14.529533+00:00,112,,,0.713,,,"Auto-collected, Var: 1.385"
78,2026-01-09T20:23:16.531408+00:00,110,,,0.51,,,"Auto-collected, Var: 0.470"
79,2026-01-09T20:23:31.366455+00:00,75,,,0.045,,,"Auto-collected, Var: 0.432"
80,2026-01-09T20:23:33.382321+00:00,72,,,0.033,,,"Auto-collected, Var: 2.348"
81,2026-01-09T20:23:35.374196+00:00,72,,,0.023,,,"Auto-collected, Var: 1.986"
82,2026-01-09T20:23:37.364478+00:00,71,,,0.017,,,"Auto-collected, Var: 2.198"
83,2026-01-09T20:23:39.379628+00:00,71,,,0.012,,,"Auto-collected, Var: 2.248"
84,2026-01-09T20:23:41.381448+00:00,71,,,0.009,,,"Auto-collected, Var: 1.706"
85,2026-01-09T20:23:43.371652+00:00,71,,,0.006,,,"Auto-collected, Var: 1.425"
86,2026-01-09T20:23:45.369273+00:00,73,,,0.005,,,"Auto-collected, Var: 0.286"
87,2026-01-09T20:23:47.364378+00:00,74,,,0.003,,,"Auto-collected, Var: 1.240"
88,2026-01-09T20:23:49.381427+00:00,75,,,0.002,,,"Auto-collected, Var: 2.396"
89,2026-01-09T20:23:51.379306+00:00,94,,,0.891,,,"Auto-collected, Var: 1.211"
90,2026-01-09T20:23:53.364715+00:00,113,,,0.892,,,"Auto-collected, Var: 0.492"
91,2026-01-09T20:23:55.366358+00:00,116,,,0.817,,,"Auto-collected, Var: 1.110"
92,2026-01-09T20:23:57.366652+00:00,113,,,0.586,,,"Auto-collected, Var: 0.239"
93,2026-01-09T20:23:59.364713+00:00,107,,,0.419,,,"Auto-collected, Var: 1.124"
94,2026-01-09T20:24:01.366301+00:00,111,,,0.755,,,"Auto-collected, Var: 1.210"
95,2026-01-09T20:24:03.386513+00:00,119,,,0.908,,,"Auto-collected, Var: 0.836"
96,2026-01-09T20:24:05.379537+00:00,118,,,0.766,,,"Auto-collected, Var: 0.228"
97,2026-01-09T20:24:07.369627+00:00,118,,,0.87,,,"Auto-collected, Var: 1.006"
98,2026-01-09T20:24:09.366581+00:00,117,,,0.773,,,"Auto-collected, Var: 0.118"
99,2026-01-09T20:24:11.379410+00:00,121,,,0.936,,,"Auto-collected, Var: 0.276"
100,2026-01-09T20:24:13.389399+00:00,115,,,0.635,,,"Auto-collected, Var: 0.620"
101,2026-01-09T20:24:15.376972+00:00,120,,,0.946,,,"Auto-collected, Var: 0.059"
